CD_GEOCMU6DIG;CD_GEOCMU;NM_MUNICIP;LONG;LAT;POP_MUN;DATA;Casos;Obitos;Letalidade;Prevalencia_casos
291830;2918308;JITAÚNA;-39,86666;-13,957972;11166;05/06/2020;11;1;9,09;98,51
291835;2918357;JOÃO DOURADO;-41,567214;-11,220169;25188;05/06/2020;36;0;0;142,93
291840;2918407;JUAZEIRO;-40,27466;-9,55688;216707;05/06/2020;93;6;6,45;42,92
291845;2918456;JUCURUÇU;-40,100747;-16,845586;9126;05/06/2020;0;0;NA;0
291850;2918506;JUSSARA;-41,880302;-10,925533;15284;05/06/2020;2;0;0;13,09
291855;2918555;JUSSARI;-39,498022;-15,136642;5833;05/06/2020;4;0;0;68,58
291860;2918605;JUSSIAPE;-41,598876;-13,511311;6186;05/06/2020;1;0;0;16,17
291870;2918704;LAFAIETE COUTINHO;-40,292581;-13,641588;3724;05/06/2020;6;0;0;161,12
291875;2918753;LAGOA REAL;-42,219603;-14,047295;15665;05/06/2020;0;0;NA;0
291880;2918803;LAJE;-39,346418;-13,166984;23840;05/06/2020;6;0;0;25,17
291890;2918902;LAJEDÃO;-40,309827;-17,559587;3955;05/06/2020;1;0;0;25,28
291900;2919009;LAJEDINHO;-40,963446;-12,380974;3783;05/06/2020;0;0;NA;0
291905;2919058;LAJEDO DO TABOCAL;-40,282259;-13,460225;8562;05/06/2020;7;0;0;81,76
291910;2919108;LAMARÃO;-38,909962;-11,785909;8307;05/06/2020;6;0;0;72,23
291915;2919157;LAPÃO;-41,77669;-11,501287;27223;05/06/2020;3;0;0;11,02
291920;2919207;LAURO DE FREITAS;-38,327273;-12,863213;198440;05/06/2020;624;8;1,28;314,45
291930;2919306;LENÇÓIS;-41,337293;-12,424989;11409;05/06/2020;0;0;NA;0
291940;2919405;LICÍNIO DE ALMEIDA;-42,470101;-14,586021;12388;05/06/2020;8;0;0;64,58
291950;2919504;LIVRAMENTO DE NOSSA SENHORA;-41,990849;-13,810688;45732;05/06/2020;8;0;0;17,49
291955;2919553;LUÍS EDUARDO MAGALHÃES;-46,013079;-12,193702;87519;05/06/2020;48;0;0;54,85
291960;2919603;MACAJUBA;-40,262256;-12,129296;11348;05/06/2020;0;0;NA;0
291970;2919702;MACARANI;-40,400968;-15,545818;18755;05/06/2020;3;1;33,33;16
291980;2919801;MACAÚBAS;-42,692918;-13,108138;49826;05/06/2020;1;0;0;2,01
291990;2919900;MACURURÉ;-38,896729;-9,291078;7824;05/06/2020;0;0;NA;0
291992;2919926;MADRE DE DEUS;-38,642732;-12,741114;21093;05/06/2020;34;1;2,94;161,19
291995;2919959;MAETINGA;-41,516221;-14,655594;3161;05/06/2020;2;0;0;63,27
292000;2920007;MAIQUINIQUE;-40,269103;-15,674;10112;05/06/2020;7;0;0;69,22
292010;2920106;MAIRI;-40,180633;-11,731684;18676;05/06/2020;3;0;0;16,06
292020;2920205;MALHADA;-43,646023;-14,217166;16845;05/06/2020;0;0;NA;0
292030;2920304;MALHADA DE PEDRAS;-41,845423;-14,35221;8393;05/06/2020;1;0;0;11,91
292040;2920403;MANOEL VITORINO;-40,547598;-14,050875;13240;05/06/2020;16;1;6,25;120,85
292045;2920452;MANSIDÃO;-44,108375;-11,128067;13643;05/06/2020;7;0;0;51,31
292050;2920502;MARACÁS;-40,555233;-13,495182;20834;05/06/2020;5;0;0;24
292060;2920601;MARAGOGIPE;-38,938094;-12,823065;44677;05/06/2020;29;1;3,45;64,91
292070;2920700;MARAÚ;-39,150518;-14,155713;20570;05/06/2020;7;2;28,57;34,03
292080;2920809;MARCIONÍLIO SOUZA;-40,675298;-13,140047;10406;05/06/2020;5;0;0;48,05
292090;2920908;MASCOTE;-39,420513;-15,666085;13822;05/06/2020;3;0;0;21,7
292100;2921005;MATA DE SÃO JOÃO;-38,148861;-12,483976;46583;05/06/2020;45;0;0;96,6
292105;2921054;MATINA;-42,940068;-13,848844;12201;05/06/2020;1;0;0;8,2
292110;2921104;MEDEIROS NETO;-40,285633;-17,361298;22688;05/06/2020;5;0;0;22,04
292120;2921203;MIGUEL CALMON;-40,624217;-11,420634;26023;05/06/2020;3;1;33,33;11,53
292130;2921302;MILAGRES;-39,797586;-12,899946;10950;05/06/2020;23;0;0;210,05
292140;2921401;MIRANGABA;-40,714509;-10,776985;18338;05/06/2020;2;0;0;10,91
292145;2921450;MIRANTE;-40,764087;-14,167821;8641;05/06/2020;2;1;50;23,15
292150;2921500;MONTE SANTO;-39,454202;-10,382988;49418;05/06/2020;6;1;16,67;12,14
292160;2921609;MORPARÁ;-43,039818;-11,75079;8519;05/06/2020;5;0;0;58,69
